QuestIndex;QuestName;Group;Type;LineIndex;EnglishText;ChineseText
1;Assistant's Request;BichonProvince;Description;0;Welcome to {Border Village/Yellow} Young traveller.;欢迎来到 {Border Village/Yellow}，年轻的旅行者。
1;Assistant's Request;BichonProvince;Description;1;Before you get started with your journey;在你正式踏上旅程之前，
1;Assistant's Request;BichonProvince;Description;2;would you please do me a quick favour? ;能先帮我一个小忙吗？
1;Assistant's Request;BichonProvince;TaskDescription;0;Transport {CannibalLeaves/LightSteelBlue} to {CraftLady/LimeGreen};把 {CannibalLeaves/LightSteelBlue} 交给 {CraftLady/LimeGreen}。
1;Assistant's Request;BichonProvince;GotoMessage;0;Deliver Leaves to CraftsLady;把树叶送到 CraftsLady 那里。
2;The CraftLady's Request;BichonProvince;Description;0;Could you do a favour for me as well? I want to;你也能帮我一个忙吗？我想要
2;The CraftLady's Request;BichonProvince;Description;1;give a present to {Jane/LimeGreen} to show my gratitude.;送一份礼物给 {Jane/LimeGreen}，表达我的感激之情。
2;The CraftLady's Request;BichonProvince;Description;2;But i cannot leave here at the moment. ;但是我现在没办法离开这里。
2;The CraftLady's Request;BichonProvince;TaskDescription;0;Find {GingerTea/LightSteelBlue} from {Scarecrows/Crimson} and Deliver;从 {Scarecrows/Crimson} 身上取得 {GingerTea/LightSteelBlue}，并把它
2;The CraftLady's Request;BichonProvince;TaskDescription;1;to {Assistant Jane/LimeGreen} in {BorderVillage/Yellow}.;交给 {Border Village/Yellow} 的 {Assistant Jane/LimeGreen}。
2;The CraftLady's Request;BichonProvince;GotoMessage;0;Deliver GingerTea to Assistant Jane;把 GingerTea 交给 Assistant Jane。
3;Talk with the Butcher;BichonProvince;Description;0;Hello traveller..;你好，旅行者……
3;Talk with the Butcher;BichonProvince;Description;1;{Butcher John/LimeGreen} is loooking for some help.;{Butcher John/LimeGreen} 正在寻找帮手。
3;Talk with the Butcher;BichonProvince;Description;2;I think its an urgent matter.;看起来是件很紧急的事情。
3;Talk with the Butcher;BichonProvince;TaskDescription;0;Speak to {Butcher John/LimeGreen} at Coordinates 293:603;去坐标 293:603 与 {Butcher John/LimeGreen} 交谈。
3;Talk with the Butcher;BichonProvince;GotoMessage;0;Speak to Butcher John at 293:603;前往 293:603 找 Butcher John 谈话。
4;Hunt for the Butcher;BichonProvince;Description;0;You are the traveller {Jane/LimeGreen} recommended.;你就是 {Jane/LimeGreen} 推荐的那位旅行者吧。
4;Hunt for the Butcher;BichonProvince;Description;1;Please can you hunt {Deer/Crimson} and bring me some ;能帮我猎杀一些 {Deer/Crimson}，
4;Hunt for the Butcher;BichonProvince;Description;2;{Deer Meat/LightSteelBlue}. If you want to know more about ;并带回一些 {Deer Meat/LightSteelBlue} 吗？如果你想了解更多
4;Hunt for the Butcher;BichonProvince;Description;3;butchering please press "H".;关于屠宰的内容，请按 "H" 键查看帮助。
